country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Afghanistan,Asia,179267,769,16222,9375,442,19,951337,23455,456636,14786861638,13815117,0.48
Albania,Europe,275574,3497,271826,251,95954,1218,181753,632857,2871945,18255787479,1276432,0.8
Algeria,Africa,265816,6875,178371,857,5865,152,23861,593,45325517,163,15205854,0.75
Andorra,Europe,42156,153,4121,982,543983,1974,249838,3223924,77495,333281524,54085,0.86
Angola,Africa,99194,19,97149,145,2853,55,1499795,43136,34769277,674428726,865468,0.59
Anguilla,North America,2984,9,2916,59,195646,59,51382,336887,15252,19216,138,0.865
Antigua And Barbuda,North America,7721,137,7511,73,77646,1378,1891,1976,99439,1471125926,125877,0.79
Argentina,South America,911319,128729,8895999,76591,197992,28,3571669,776974,45968174,487,3486693,0.84
Armenia,Asia,422896,8623,41248,2225,142219,29,368217,131834,2973558,1386149969,986762,0.76
Aruba,North America,35693,213,35199,281,331689,1979,177885,165353,1761,312619399,84212,0.908
Australia,Australia/Oceania,6593795,7794,6199822,386179,253112,299,7885598,272142,265899,155,57756454,0.95
Austria,Europe,4212492,1833,4135885,5834,46284,211,1853495,232881,91216,484,6682331,0.92
Azerbaijan,Asia,792638,979,782869,6,76885,942,6838458,663324,139383,54622176471,13728289,0.75
Bahamas,North America,33871,81,32488,582,84626,21,233473,58333,4242,38868.66,340866,0.81
Bahrain,Asia,576997,1479,569758,576,318491,816,9775981,5396149,1811659,3886866332,3449026,0.88
Bangladesh,Asia,195312,29127,1899419,24466,11643,174,1451455,83767,167745162,416,13973717,0.66
Barbados,North America,76261,433,71497,4331,264768,153,669421,2324136,2883,48438,15528,0.79
Belarus,Europe,982867,6978,,,1478,739,1322483,1399951,9443535,68253877,13054679,0.81
Belgium,Europe,4116397,31613,394135,143434,352324,276,3384623,2896893,11683561,594,9168527,0.94
Belize,North America,57896,676,56761,459,14843,1644,549217,13367,41169,24915,221394,0.68
Benin,Africa,26952,163,2556,1283,212,13,6431,4753,12714341,17144918952,4156907,0.53
Bermuda,North America,14135,135,13664,336,228537,2183,89398,144542,6185,728667,131612,0.981
Bhutan,Asia,5957,21,59491,58,75651,27,23369,2925573,787432,2539552985,1909762,0.67
Bolivia,South America,96146,21943,863665,2538,7574,1833,275422,22625,11969554,44828528,13773106,0.703
Bosnia And Herzegovina,Europe,377511,15778,,,116414,4866,1767199,544957,3242823,23365361635,402573,0.78
Botswana,Africa,36324,269,3326,68,125541,112,226898,83683,24437,17614791266,1653954,0.69
Brazil,South America,368294,66492,2971842,298772,14246,387,63776166,296119,21537353,169,176164186,0.75
British Virgin Islands,North America,6573,62,,,214762,226,13637,3386166,366,42300,41104,0.945
Brunei Darussalam,Asia,144659,22,142788,1651,324871,494,717784,161198,445281,146569576,283345,0.83
Bulgaria,Europe,116154,3745,11432,11157,169536,547,9924259,1448573,68516,8456312734,276778,0.8
Burkina Faso,Africa,2853,382,2439,32,949,17,248995,11333,2197296,19737615114,4129254,0.45
Burundi,Africa,41235,38,,,3286,3,345742,27549,12549999,2779813489,33734,0.43
Cabo Verde,Africa,5615,41,55613,91,9891,77,4982,7698,567234,193617443,57262,0.66
Cambodia,Asia,136262,356,133194,12,7945,178,2961934,17279,17149867,269616112,14652519,0.59
Cameroon,Africa,11978,1927,117791,62,4312,69,1751774,6368,2777653,45338283345,373226,0.58
Canada,North America,3821346,4228,3499564,281554,99622,149,61436458,16164,38358465,199,85875127,0.94
Caribbean Netherlands,North America,9915,35,9829,51,371668,1312,3126,1129287,26677,,10219,0
Cayman Islands,North America,23578,28,8553,14997,35177,417,222773,331798,67159,5898449688,6659,0.888
Central African Republic,Africa,14649,113,6859,7677,2938,23,81294,1634,4986136,2516498299,2266531,0.4
Chad,Africa,7414,193,4874,2347,428,11,191341,1158,173326,117799882,6127422,0.39
Channel Islands,Europe,75275,173,74574,528,425648,978,125288,78495,176848,,10219,0.985
Chile,South America,365522,57722,3468131,79669,185643,2972,37693651,19479,19421812,318,57922798,0.86
China Hong Kong Sar,Asia,12856,9361,,,1588,123,44972952,599516,76126,,17398698,0.952
China Macao Sar,Asia,82,,82,,123,,5375,873,665819,,1430205,0.8
China,Asia,22184,529,21454,6141,154,4,16,111163,1439323776,177,3391088000,0.77
Colombia,South America,695316,139821,5928829,26666,117459,2694,34675581,668214,5189295,314,36963551,0.75
Comoros,Africa,81,16,7933,7,8959,177,,,9491,129689633,642520,0.56
Congo,Africa,2479,385,2178,3516,4172,67,347815,627,577949,,830379,0.57
Cook Islands,Australia/Oceania,541,1,5291,118,37491,57,17469,992895,17594,,39780,0.985
Costa Rica,North America,866164,8444,841683,1637,167189,163,441922,849668,518753,64282438667,4341182,0.81
Cote D Ivoire,Africa,81989,799,81168,22,2971,29,159861,54716,27594347,,12753769,0.55
Croatia,Europe,113145,1593,111145,4115,278811,3925,4838151,1192212,45813,689558328,232142,0.86
Cuba,North America,114589,8529,195534,526,97633,754,1292253,1141997,11313741,,111196,0.76
Curacao,North America,4317,275,4223,539,26168,1663,496693,3416,165343,2699612458,253666,0.811
Cyprus,Asia,477711,132,12437,35239,39374,843,9477138,7744481,1223728,2847867534,1784616,0.9
Czech Republic,Europe,3915847,4245,3871654,3948,36441,3745,55323981,5148342,1745981,,17654355,0.889
Democratic Republic Of The Congo,Africa,8723,1337,593,34756,92,14,84674,8948,94629737,,10894482,0.479
Denmark,Europe,2976667,6287,296386,9994,51561,178,127345763,21842472,58319,398,4746322,0.95
Djibouti,Africa,15631,189,15427,15,1544,186,35941,31492,114756,3482987379,349268,0.51
Dominica,North America,12685,63,12323,299,17543,871,194894,2694921,72319,554181481.5,66872,0.72
Dominican Republic,North America,58412,4376,575583,453,52524,396,335829,299156,11551,94243453937,688554,0.77
Ecuador,South America,872268,3567,,,488,1963,24717,136158,18141962,162,1424587,0.74
Egypt,Africa,515645,24613,442182,4885,4868,232,3693367,34867,15928386,,4195852,0.73
El Salvador,North America,16289,4129,15662,7298,24757,631,195448,29798,6547158,2873694,10843511,0.68
Equatorial Guinea,Africa,1591,183,1571,26,1687,123,317211,21368,1488778,1226939284,479991,0.6
Eritrea,Africa,9745,13,9632,1,2679,28,23693,6513,3637828,,9773,0.49
